title,rating,date,description,reviewUrl,isVerified,isReviewInIndia,customerName,productSize
Not lasting,1.0,15 February 2025,Easily brakeble,https://www.amazon.in/gp/customer-reviews/R33HVR592JSH5E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Kripa,
Breaks easily. Not a sturdy product. Don't buy,1.0,10 February 2025,I used this product just twice to comb my hair and it started forming cracks and my hair kept getting stuck there leading to more hairfallNot a good quality product. Don't buy,https://www.amazon.in/gp/customer-reviews/R3LT4VS8Y3SY9H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Keerthana Srinath,
Substandard product,1.0,1 February 2025,Broke after one use. Substandard product. Surprised it has good reviews,https://www.amazon.in/gp/customer-reviews/R3JNYLUHYLBHM2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,George Philip,
Did not receive the 2 combs,1.0,29 January 2025,,https://www.amazon.in/gp/customer-reviews/R1RY3P8WN9XFER/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,sidhi,
Received broken,1.0,24 January 2025,2 combs were broken. Can I get refund for those 2 combs ?,https://www.amazon.in/gp/customer-reviews/R16ILK1U0G5113/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,JP,
Very hard teeth,1.0,17 January 2025,Very hard teeth. It is damaging the scalp.,https://www.amazon.in/gp/customer-reviews/R2FVFS1UDDNZNO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Ashish Mundada,
Worst product,1.0,7 January 2025,"Wirst product , clearly waste of money .feel  irritated when combing and its realy hard.Cannot comb hair as wish.Please dont buy.Really sharp.",https://www.amazon.in/gp/customer-reviews/R3KL0AG8D771O3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Never seen such a poor and low quality. Its a copy for 100%. Please never buy anything from this seller.,
Comb was missing,1.0,6 January 2025,Forget video,https://www.amazon.in/gp/customer-reviews/R2PBF4AGZW3YG2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Narender,
Made of plastic not wood,1.0,26 December 2024,This is plastic which is painted to look like wood. My old comb is proper wood and feels much better. Never buying anything from these scamsters again.,https://www.amazon.in/gp/customer-reviews/R790FGXLA759A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Anindya Sudhir,
Teeth of comb hurts,1.0,8 December 2024,The teeth edges are very sharp rough and pricky. Everytime you comb it irritates the scalp and repeated combing on one spot scratches the scalp which stings during head wash ! No not advisable,https://www.amazon.in/gp/customer-reviews/R1PPOBMLY5RUX5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Placeholder,
very poor quality not good at all,1.0,3 December 2024,please don't buy this. This is extremely annoying comb with no good quality.,https://www.amazon.in/gp/customer-reviews/R2SC2FY2UGRSTH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,prabh aujla,
Worst product 🤬,1.0,20 November 2024,Comb ki size etni choti hai ki hair comb kar hi ny sakte ulta hair Tut rahe hai too small comb🤬🤬🤬Don't buy this it's my recommendation,https://www.amazon.in/gp/customer-reviews/RCMIYQ53OQDQ5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Vikas,
Teeth issue,1.0,20 November 2024,"Do not buy, teeth are not good",https://www.amazon.in/gp/customer-reviews/R30ZMBE5VTZJD8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Megha Aggarwal,
AVOID IT,1.0,31 October 2024,It's a cheap quality product.,https://www.amazon.in/gp/customer-reviews/R2YAQNGKS7MW42/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,kedar potnis,
The advantage and disadvantage of this wooden comb,1.0,31 October 2024,"Advantages:Makes your hair texture good , silky smooth hair, massage your scalp.Disadvantage: I suffered from hair loss ,it is too difficult to detangle.I also tested the plastic comb and wooden comb the hair loss from wooden comb was too much as compared to plastic wise tooth comb so recommended no to buy i think it doesn't work for my hair.",https://www.amazon.in/gp/customer-reviews/R2GV9G5XNQW5KB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09KBQPR5C,True,True,Amazon Customer,
